Longitude;Latitude;Hostel name
-0,13128;51,47198; Hostmere
-0,18996;51,49335; Overseas Visitors Club
-0,31101;51,01255; Gaveston Hall Youth Centre & Hostel
-0,18595;51,57038; Hampstead Heath Youth Hostel
-0,3468;51,74355; Youth Hostels Association
-0,13669;51,51475; Youth Hostels Association
-0,42255;51,1938; Youth Hostels Association
-0,10083;51,51316; Youth Hostels Association
-0,05913;51,41516; Bromley Housing Aid
0,1011;51,77962; Harlow International Hostel
-0,37935;51,25268; Tanners Hatch
-0,11651;51,52912; Budget Accomodation
-0,12619;51,52861; Y H A St Pancras (International)
-0,59405;51,60961; Jordans Youth Hostel
-0,22017;51,44852; Annesley House
